Time,Identifier,Type,OPTION TYPE,openInterest,changeinOpenInterest,totalTradedVolume,lastPrice,change,impliedVolatility,strikePrice,underlyingValue
16:58:58,7800_CE,CE,ITM,6075,-3150,216,777.25,257.0,133.43,7800,8597.75
16:58:58,7900_CE,CE,ITM,4500,375,193,674.25,206.39999999999998,0.0,7900,8597.75
16:58:58,8000_CE,CE,ITM,164400,-51375,7195,566.55,170.49999999999994,95.26,8000,8597.75
16:58:58,8100_CE,CE,ITM,20925,-30900,2426,473.3,143.3,90.1,8100,8597.75
16:58:58,8200_CE,CE,ITM,35925,-43050,14461,383.65,115.59999999999997,86.91,8200,8597.75
16:58:58,8300_CE,CE,ITM,79650,-59175,38646,300.55,86.65,87.83,8300,8597.75
16:58:58,8400_CE,CE,ITM,154875,-128400,102677,222.3,57.95000000000002,89.53,8400,8597.75
16:58:58,8500_CE,CE,ITM,667725,-108375,321138,156.5,32.75,90.46,8500,8597.75
16:58:58,8600_CE,CE,OTM,464100,118050,287497,104.0,13.849999999999994,89.56,8600,8597.75
16:58:58,8700_CE,CE,OTM,628275,131775,298540,65.15,0.75,88.44,8700,8597.75
16:58:58,8800_CE,CE,OTM,603075,245100,303895,40.0,-8.149999999999999,87.72,8800,8597.75
16:58:58,8900_CE,CE,OTM,387750,148950,183606,24.35,-12.0,87.52,8900,8597.75
16:58:58,9000_CE,CE,OTM,1514625,120825,371564,13.85,-13.85,87.46,9000,8597.75
16:58:58,9100_CE,CE,OTM,641175,338700,114543,6.9,-13.85,86.47,9100,8597.75
16:58:58,9200_CE,CE,OTM,565875,38775,78729,3.8,-11.899999999999999,85.77,9200,8597.75
16:58:58,9300_CE,CE,OTM,332850,-25650,38076,2.15,-9.6,87.2,9300,8597.75
16:58:58,7800_PE,PE,OTM,413400,84300,81264,9.1,-87.55000000000001,103.3,7800,8597.75
16:58:58,7900_PE,PE,OTM,332625,136425,78343,13.5,-105.85,100.28,7900,8597.75
16:58:58,8000_PE,PE,OTM,1286775,247875,322560,19.1,-129.05,97.61,8000,8597.75
16:58:58,8100_PE,PE,OTM,346950,142875,144080,26.0,-154.8,94.54,8100,8597.75
16:58:58,8200_PE,PE,OTM,500625,269775,235850,37.5,-181.65,92.84,8200,8597.75
16:58:58,8300_PE,PE,OTM,528150,293775,230370,52.8,-211.84999999999997,92.63,8300,8597.75
16:58:58,8400_PE,PE,OTM,773850,506550,266255,75.0,-239.45,93.5,8400,8597.75
16:58:58,8500_PE,PE,OTM,1017675,384525,254672,107.0,-265.95,93.58,8500,8597.75
16:58:58,8600_PE,PE,ITM,398025,304200,95133,156.05,-283.05,93.88,8600,8597.75
16:58:58,8700_PE,PE,ITM,213450,132900,30281,218.0,-298.9,92.88,8700,8597.75
16:58:58,8800_PE,PE,ITM,90000,41175,10989,290.0,-306.70000000000005,90.98,8800,8597.75
16:58:58,8900_PE,PE,ITM,19950,-41250,2977,379.15,-307.25,100.62,8900,8597.75
16:58:58,9000_PE,PE,ITM,240900,6075,9688,465.55,-313.2,91.21,9000,8597.75
16:58:58,9100_PE,PE,ITM,13275,-1350,385,546.8,-319.4000000000001,123.93,9100,8597.75
16:58:58,9200_PE,PE,ITM,10275,-1650,185,643.1,-333.25,113.75,9200,8597.75
16:58:58,9300_PE,PE,ITM,6525,75,39,742.0,-322.0999999999999,96.99,9300,8597.75
16:58:58,7800_CE,CE,ITM,6075,-3150,216,777.25,257.0,133.43,7800,8597.75
16:58:58,7900_CE,CE,ITM,4500,375,193,674.25,206.39999999999998,0.0,7900,8597.75
16:58:58,8000_CE,CE,ITM,164400,-51375,7195,566.55,170.49999999999994,95.26,8000,8597.75
16:58:58,8100_CE,CE,ITM,20925,-30900,2426,473.3,143.3,90.1,8100,8597.75
16:58:58,8200_CE,CE,ITM,35925,-43050,14461,383.65,115.59999999999997,86.91,8200,8597.75
16:58:58,8300_CE,CE,ITM,79650,-59175,38646,300.55,86.65,87.83,8300,8597.75
16:58:58,8400_CE,CE,ITM,154875,-128400,102677,222.3,57.95000000000002,89.53,8400,8597.75
16:58:58,8500_CE,CE,ITM,667725,-108375,321138,156.5,32.75,90.46,8500,8597.75
16:58:58,8600_CE,CE,OTM,464100,118050,287497,104.0,13.849999999999994,89.56,8600,8597.75
16:58:58,8700_CE,CE,OTM,628275,131775,298540,65.15,0.75,88.44,8700,8597.75
16:58:58,8800_CE,CE,OTM,603075,245100,303895,40.0,-8.149999999999999,87.72,8800,8597.75
16:58:58,8900_CE,CE,OTM,387750,148950,183606,24.35,-12.0,87.52,8900,8597.75
16:58:58,9000_CE,CE,OTM,1514625,120825,371564,13.85,-13.85,87.46,9000,8597.75
16:58:58,9100_CE,CE,OTM,641175,338700,114543,6.9,-13.85,86.47,9100,8597.75
16:58:58,9200_CE,CE,OTM,565875,38775,78729,3.8,-11.899999999999999,85.77,9200,8597.75
16:58:58,9300_CE,CE,OTM,332850,-25650,38076,2.15,-9.6,87.2,9300,8597.75
16:58:58,7800_PE,PE,OTM,413400,84300,81264,9.1,-87.55000000000001,103.3,7800,8597.75
16:58:58,7900_PE,PE,OTM,332625,136425,78343,13.5,-105.85,100.28,7900,8597.75
16:58:58,8000_PE,PE,OTM,1286775,247875,322560,19.1,-129.05,97.61,8000,8597.75
16:58:58,8100_PE,PE,OTM,346950,142875,144080,26.0,-154.8,94.54,8100,8597.75
16:58:58,8200_PE,PE,OTM,500625,269775,235850,37.5,-181.65,92.84,8200,8597.75
16:58:58,8300_PE,PE,OTM,528150,293775,230370,52.8,-211.84999999999997,92.63,8300,8597.75
16:58:58,8400_PE,PE,OTM,773850,506550,266255,75.0,-239.45,93.5,8400,8597.75
16:58:58,8500_PE,PE,OTM,1017675,384525,254672,107.0,-265.95,93.58,8500,8597.75
16:58:58,8600_PE,PE,ITM,398025,304200,95133,156.05,-283.05,93.88,8600,8597.75
16:58:58,8700_PE,PE,ITM,213450,132900,30281,218.0,-298.9,92.88,8700,8597.75
16:58:58,8800_PE,PE,ITM,90000,41175,10989,290.0,-306.70000000000005,90.98,8800,8597.75
16:58:58,8900_PE,PE,ITM,19950,-41250,2977,379.15,-307.25,100.62,8900,8597.75
16:58:58,9000_PE,PE,ITM,240900,6075,9688,465.55,-313.2,91.21,9000,8597.75
16:58:58,9100_PE,PE,ITM,13275,-1350,385,546.8,-319.4000000000001,123.93,9100,8597.75
16:58:58,9200_PE,PE,ITM,10275,-1650,185,643.1,-333.25,113.75,9200,8597.75
16:58:58,9300_PE,PE,ITM,6525,75,39,742.0,-322.0999999999999,96.99,9300,8597.75
